Date,Description,Amount
2025-01-01,Salary Deposit,5000.00
2025-01-02,Whole Foods Market,-125.50
2025-01-03,Starbucks Coffee,-4.75
2025-01-04,Shell Gas Station,-52.30
2025-01-05,Amazon.com,-89.99
2025-01-06,Netflix Subscription,-15.99
2025-01-07,Chipotle Mexican Grill,-12.50
2025-01-08,CVS Pharmacy,-23.45
2025-01-09,Target,-67.80
2025-01-10,Uber Ride,-18.50
2025-01-11,LA Fitness,-49.99
2025-01-12,Trader Joe's,-78.25
2025-01-13,McDonald's,-8.99
2025-01-14,Verizon Wireless,-85.00
2025-01-15,Home Depot,-145.67
2025-01-16,Panera Bread,-14.25
2025-01-17,Costco Wholesale,-234.56
2025-01-18,Spotify Premium,-9.99
2025-01-19,Walgreens,-34.50
2025-01-20,Subway Restaurant,-7.99
2025-01-21,Chevron Gas Station,-48.75
2025-01-22,Best Buy,-299.99
2025-01-23,Pizza Hut,-25.50
2025-01-24,Kroger,-92.30
2025-01-25,AT&T Internet,-65.00
2025-01-26,Dunkin Donuts,-6.50
2025-01-27,Safeway,-110.45
2025-01-28,Lyft Ride,-22.00
2025-01-29,Southwest Airlines,-250.00
2025-01-30,Airbnb,-450.00

